stimulus_id,image_path,source_id,condition_id,outline,shading,shading_region,material,outer_color,center_color,background_color,width_px,height_px,sha256
user-dog__oa-sn-mv-pwb,images/user-dog/background-white/user-dog__oa-sn-mv-pwb.png,user-dog,oa-sn-mv-pwb,ambiguous,none,none,vase,white,black,white,1024,1024,971b99376d2707c00619bb1c81953c9600a5035af7d37a2994543a84f78543bf
user-dog__oa-sn-mv-pwg,images/user-dog/background-white/user-dog__oa-sn-mv-pwg.png,user-dog,oa-sn-mv-pwg,ambiguous,none,none,vase,white,gray,white,1024,1024,6c7892459e626252ce4a7c75f9a25a292e4a1ebbc855a2bf84f45f09897aba6c
user-dog__of-sf-ma-pbw,images/user-dog/background-white/user-dog__of-sf-ma-pbw.png,user-dog,of-sf-ma-pbw,face,figure,face,ambiguous,black,white,white,1024,1024,a175ae748617668992a188665c9ac9614cc2de96a0bf63371da7f69b8a430f84
user-dog__of-sf-ma-pgw,images/user-dog/background-white/user-dog__of-sf-ma-pgw.png,user-dog,of-sf-ma-pgw,face,figure,face,ambiguous,gray,white,white,1024,1024,1c227a8e3096a4e206e5eef80191a665e3a1b90b93c48306302dfc732b68dc78
user-dog__of-sn-ma-pbw,images/user-dog/background-white/user-dog__of-sn-ma-pbw.png,user-dog,of-sn-ma-pbw,face,none,none,ambiguous,black,white,white,1024,1024,baf560b88e52264f46eb1262475d6d5926d6a6d1aa69093662bce1aa0bc1afa5
user-dog__of-sn-ma-pgw,images/user-dog/background-white/user-dog__of-sn-ma-pgw.png,user-dog,of-sn-ma-pgw,face,none,none,ambiguous,gray,white,white,1024,1024,63ae86be57bbaab446a34ad47b53a446c1ae81b21ab10ebc8441350a40dc4052
user-macaque__oa-sf-ma-pbg,images/user-macaque/background-black/user-macaque__oa-sf-ma-pbg.png,user-macaque,oa-sf-ma-pbg,ambiguous,figure,vase,ambiguous,black,gray,black,1024,1024,ebb03eea8812c9d34997f15de3b77f6841d145d733d1d04ac4708b08156186e6
user-macaque__oa-sf-ma-pbw,images/user-macaque/background-black/user-macaque__oa-sf-ma-pbw.png,user-macaque,oa-sf-ma-pbw,ambiguous,figure,vase,ambiguous,black,white,black,1024,1024,a4479cd86d80008fdd3d2ce6934976c25a5c9a0b53870e27463394df251c0743
user-macaque__oa-sn-ma-pbg,images/user-macaque/background-black/user-macaque__oa-sn-ma-pbg.png,user-macaque,oa-sn-ma-pbg,ambiguous,none,none,ambiguous,black,gray,black,1024,1024,eabeeb84a2a2bed77a6ca14bbf70afdd545d7a19b610ee0d2269d77220727b2f
user-macaque__oa-sn-ma-pbw,images/user-macaque/background-black/user-macaque__oa-sn-ma-pbw.png,user-macaque,oa-sn-ma-pbw,ambiguous,none,none,ambiguous,black,white,black,1024,1024,4bc4c42b711e9dca5a676b7011d12852b6b14c193816bc1bc8a80a55c1603fe1
user-macaque__oa-sn-mv-pbg,images/user-macaque/background-black/user-macaque__oa-sn-mv-pbg.png,user-macaque,oa-sn-mv-pbg,ambiguous,none,none,vase,black,gray,black,1024,1024,2241d60c0b2a1af92a35331bf4459e5a3dcbd2c939fbe232e9fd306d4d0dcb54
